0,顶级菜单,Root,000,"",fa fa-television,0,"",true,Administrator,2012-10-01 00:00:00.000,false,0x000000000000384D
202003111338313288846aafbfc458a,资源产品规程设置,MESSCMX_ResourceProuctSpec,2020030214453246301546be8417a3c,MESSCMX_ResourceProuctSpec,fa fa-puzzle-piece,0,,true,admin,2020-03-11 13:38:31.330,true,0x000000000000C7AA
202003120948518662257d6dddbe5f8,配制报表,Configuration Report,2019122410042707389827aef86555d,,fa fa-puzzle-piece,0,,true,admin,2020-03-12 09:48:51.000,false,0x000000000000C7C0
2020031209520344715893a39826f11,设备消毒清单,Dled Equipment List,202003120948518662257d6dddbe5f8,DledEquipmentList,fa fa-puzzle-piece,0,,true,admin,2020-03-12 09:52:03.447,true,0x000000000000C7AE
2020031209535780420240b29e8c3e8,设备消毒曲线,DIData,202003120948518662257d6dddbe5f8,DIData,fa fa-puzzle-piece,0,,true,admin,2020-03-12 09:53:57.803,true,0x000000000000C7AF
2020031209564949620676b4710f77c,BPR工艺操作记录表,BPRReportList,202003120948518662257d6dddbe5f8,BPRReportList,fa fa-puzzle-piece,0,,true,admin,2020-03-12 09:56:49.497,true,0x000000000000C7B2
202003120957392244524d78cf2ebb7,预称报表,PreWeight,202003120948518662257d6dddbe5f8,PreWeight,fa fa-puzzle-piece,0,,true,admin,2020-03-12 09:57:39.223,true,0x000000000000C7B3
202003121003448970706a5ed60c9d7,巡检数据曲线图,IPQCCheckData,202002111630423331969cba7a8cc01,IPQCCheckData,fa fa-puzzle-piece,0,,true,admin,2020-03-12 10:03:44.897,true,0x000000000000C7B7
202003121004241534017746d72a60d,产品首件确认,FirstCheckData,202002111630423331969cba7a8cc01,FirstCheckData,fa fa-puzzle-piece,0,,true,admin,2020-03-12 10:04:24.153,true,0x000000000000C7B8
202003121006487811702f5966da183,包材报表,Package Report,2019122410042707389827aef86555d,,fa fa-puzzle-piece,0,,true,admin,2020-03-12 10:06:48.000,false,0x000000000000C7BD
20200312100734190347896e626e354,品质报表-包材,InspectionListByLotNMBC,202003121006487811702f5966da183,InspectionListByLotNMBC,fa fa-puzzle-piece,0,,true,admin,2020-03-12 10:07:34.190,true,0x000000000000C7BB
2020031212333603058112ffe8d5406,不良代码组,MESSCMX_DefectUserCodeGroup,2020030214453246301546be8417a3c,MESSCMX_DefectUserCodeGroup,fa fa-puzzle-piece,0,,true,admin,2020-03-12 12:33:36.030,true,0x000000000000C7C2
202003131035460231767654880f689,不良代码（原因）,MESSCMX_DefectUserCode,2020030214453246301546be8417a3c,MESSCMX_DefectUserCode,fa fa-puzzle-piece,0,,true,admin,2020-03-13 10:35:46.023,true,0x000000000000C7C9
2020031310520924786004bfc0bc25c,中心线数据表,DataCollectHistoryChart,2020021112311036713933c7d92e165,DataCollectHistoryChart,fa fa-puzzle-piece,0,,false,admin,2020-03-13 10:52:09.000,true,0x0000000000011954
